V(Au),sV(Au),V(MgO),sV(MgO),T,sT
6.41839300e+01,2.87100000e-02,7.00503000e+01,5.19900000e-02,1.97100000e+03,3.00000000e+01
6.42151400e+01,7.80000000e-02,7.00777500e+01,9.94400000e-02,2.11800000e+03,6.40000000e+01
6.27075300e+01,1.73000000e-02,6.82441300e+01,9.72000000e-03,1.86300000e+03,3.30000000e+01
6.28940400e+01,1.77100000e-02,6.85041600e+01,2.72300000e-02,1.96900000e+03,2.30000000e+01
6.27976200e+01,2.21200000e-02,6.84428600e+01,2.75700000e-02,1.86100000e+03,4.50000000e+01
6.27081100e+01,5.43000000e-02,6.84301700e+01,5.19500000e-02,1.85200000e+03,3.10000000e+01
6.27126500e+01,2.51600000e-02,6.83854400e+01,3.30000000e-02,1.88400000e+03,5.00000000e+01
6.23787800e+01,5.74400000e-02,6.80420400e+01,7.33300000e-02,1.64100000e+03,1.90000000e+01
6.37828300e+01,5.01100000e-02,6.96535800e+01,2.91300000e-02,1.48000000e+03,4.50000000e+01
6.38898100e+01,3.35600000e-02,6.99754000e+01,1.10000000e-01,1.59300000e+03,7.00000000e+00
6.24449800e+01,1.52000000e-02,6.79112300e+01,1.83600000e-02,1.57000000e+03,3.10000000e+01
6.37004300e+01,6.87600000e-02,6.95469700e+01,1.05340000e-01,1.88700000e+03,4.90000000e+01
6.36587500e+01,3.34800000e-02,6.94642000e+01,8.50900000e-02,1.90000000e+03,3.80000000e+01
6.36038200e+01,3.76500000e-02,6.94510000e+01,9.94400000e-02,1.87900000e+03,5.20000000e+01
6.37562100e+01,6.01500000e-02,6.95037900e+01,1.47450000e-01,1.87100000e+03,3.70000000e+01
6.38264200e+01,1.03260000e-01,6.94595500e+01,8.05500000e-02,2.07800000e+03,7.50000000e+01
6.38130000e+01,5.12000000e-02,6.94735300e+01,2.48200000e-02,2.08600000e+03,8.00000000e+01
6.34068400e+01,5.79400000e-02,6.91783200e+01,1.08400000e-02,1.79500000e+03,3.50000000e+01
6.34231800e+01,3.96600000e-02,6.91793200e+01,3.52700000e-02,1.87000000e+03,4.70000000e+01
6.34748300e+01,3.85200000e-02,6.92527900e+01,3.57100000e-02,1.82300000e+03,3.30000000e+01
6.34431100e+01,2.48000000e-02,6.91963800e+01,4.28600000e-02,1.82900000e+03,3.90000000e+01
6.26151700e+01,9.71000000e-02,6.81535900e+01,1.25000000e-01,1.72000000e+03,6.30000000e+01
6.24676500e+01,3.56500000e-02,6.78520000e+01,6.40000000e-02,1.78100000e+03,4.90000000e+01
6.22152200e+01,6.12500000e-02,6.76820000e+01,6.10000000e-02,1.84500000e+03,7.10000000e+01
6.40504800e+01,3.14800000e-02,6.98903300e+01,7.88400000e-02,1.76600000e+03,4.10000000e+01
6.39555400e+01,5.53300000e-02,7.00202700e+01,1.21000000e-01,1.78000000e+03,4.40000000e+01
6.23290000e+01,4.43400000e-02,6.78701100e+01,7.40000000e-02,1.70000000e+03,4.30000000e+01
6.20795800e+01,5.49100000e-02,6.74495200e+01,1.13000000e-01,1.81000000e+03,7.50000000e+01
6.20905900e+01,5.66900000e-02,6.74735000e+01,8.80000000e-02,1.85900000e+03,6.90000000e+01
6.20062100e+01,5.27100000e-02,6.74268200e+01,1.03520000e-01,1.94400000e+03,8.50000000e+01
6.22483400e+01,4.24400000e-02,6.75677100e+01,7.34500000e-02,1.81400000e+03,3.90000000e+01
6.22196500e+01,4.95700000e-02,6.75368200e+01,7.05000000e-02,1.70900000e+03,4.80000000e+01
6.22714500e+01,4.54100000e-02,6.75611000e+01,7.76500000e-02,1.82500000e+03,5.30000000e+01
6.22951400e+01,5.56300000e-02,6.76052600e+01,5.74800000e-02,1.81700000e+03,7.00000000e+01
6.33439700e+01,6.23400000e-02,6.90863400e+01,2.23100000e-02,1.67800000e+03,2.60000000e+01
6.24236500e+01,6.97900000e-02,6.78226200e+01,1.08000000e-01,1.67000000e+03,4.60000000e+01
6.23200000e+01,7.65100000e-02,6.75007400e+01,1.32000000e-01,1.60000000e+03,4.10000000e+01
6.20540900e+01,8.35000000e-02,6.73331500e+01,7.40000000e-02,1.65500000e+03,4.70000000e+01
