V(Pt),sV(Pt),V(MgO),sV(MgO),T,sT
5.88708800e+01,4.16800000e-02,7.05096600e+01,5.80700000e-02,1.82600000e+03,3.00000000e+01
5.88292900e+01,1.08860000e-01,7.03786800e+01,2.93200000e-02,1.80600000e+03,2.70000000e+01
5.91272100e+01,5.93500000e-02,7.07788700e+01,4.06200000e-02,2.02300000e+03,4.30000000e+01
5.92508300e+01,1.04960000e-01,7.08341600e+01,7.44500000e-02,2.07200000e+03,6.40000000e+01
5.92157500e+01,3.75800000e-02,7.08261600e+01,1.00700000e-01,2.04500000e+03,2.90000000e+01
5.73971600e+01,8.71000000e-02,6.76605100e+01,3.56000000e-02,1.94200000e+03,9.30000000e+01
5.75366400e+01,1.09810000e-01,6.77965600e+01,7.18100000e-02,1.75800000e+03,6.30000000e+01
5.73545800e+01,6.99600000e-02,6.76560200e+01,2.54400000e-02,1.66200000e+03,8.10000000e+01
5.85290000e+01,3.68900000e-02,6.94327500e+01,5.82100000e-02,1.98400000e+03,3.70000000e+01
5.86268200e+01,2.20600000e-02,6.95731200e+01,3.70000000e-02,2.00500000e+03,2.80000000e+01
5.86554900e+01,5.29100000e-02,6.96644900e+01,5.68700000e-02,2.02200000e+03,2.50000000e+01
5.88899400e+01,1.00000000e-01,6.98410600e+01,1.12270000e-01,2.08700000e+03,1.70000000e+01
5.88469900e+01,5.51700000e-02,6.98400500e+01,7.27400000e-02,2.01800000e+03,3.70000000e+01
5.83603100e+01,3.26200000e-02,6.95649100e+01,6.12400000e-02,1.78900000e+03,2.00000000e+01
5.79109600e+01,4.46000000e-02,6.87746200e+01,2.51600000e-02,1.82400000e+03,2.70000000e+01
5.81350800e+01,5.12800000e-02,6.90427500e+01,4.44100000e-02,1.99400000e+03,3.60000000e+01
5.81003700e+01,3.82000000e-02,6.89927200e+01,1.08280000e-01,1.97900000e+03,3.30000000e+01
5.74992400e+01,8.58100000e-02,6.76351100e+01,1.91900000e-02,1.86500000e+03,6.70000000e+01
5.75409500e+01,1.12190000e-01,6.75500800e+01,7.67700000e-02,1.92400000e+03,7.10000000e+01
5.74144900e+01,1.03360000e-01,6.73170100e+01,8.19700000e-02,1.87700000e+03,7.30000000e+01
